         1046202 function calls (1005802 primitive calls) in 0.567 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.012    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:887(_process_n_jobs)
     1800    0.003    0.000    0.012    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1882(from_array)
      200    0.000    0.000    0.012    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/compat.py:351(_LGBMCpuCount)
50600/36000    0.009    0.000    0.012    0.000 {built-in method builtins.len}
      200    0.000    0.000    0.012    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/joblib/parallel.py:631(cpu_count)
      200    0.001    0.000    0.012    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/joblib/externals/loky/backend/context.py:78(cpu_count)
      400    0.003    0.000    0.012    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:103(_assert_all_finite)
      200    0.001    0.000    0.012    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:1006(convert_object_array)
     2000    0.007    0.000    0.011    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:1028(convert)
    15800    0.005    0.000    0.011    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
     1000    0.001    0.000    0.010    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:5449(_can_hold_identifiers_and_holds_name)
      200    0.001    0.000    0.010    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/joblib/externals/loky/backend/context.py:215(_cpu_count_user)
     1800    0.002    0.000    0.010    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:6323(__setattr__)
    70000    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
      200    0.001    0.000    0.010    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:1027(from_booster)
     3200    0.002    0.000    0.009    0.000 {built-in method builtins.all}
      600    0.002    0.000    0.009    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/copy.py:248(_reconstruct)
      200    0.001    0.000    0.009    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:992(__init__)
      200    0.008    0.000    0.008    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:637(get_by_alias)
     2000    0.002    0.000    0.008    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/_config/config.py:145(_get_option)
      200    0.000    0.000    0.008    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:1281(feature_names_in_)
      200    0.004    0.000    0.008    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:543(_param_dict_to_str)
     9600    0.002    0.000    0.008    0.000 <frozen abc>:117(__instancecheck__)
     1600    0.002    0.000    0.008    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:287(get_dtypes)
      200    0.001    0.000    0.008    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2140(create_block_manager_from_column_arrays)
      200    0.000    0.000    0.007    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:1269(feature_name_)
     2200    0.002    0.000    0.007    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_missing.py:9(is_scalar_nan)
      200    0.000    0.000    0.007    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/joblib/externals/loky/backend/context.py:179(_cpu_count_affinity)
      400    0.001    0.000    0.007    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/copy.py:62(copy)
      200    0.003    0.000    0.007    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:5011(feature_name)
     1000    0.003    0.000    0.007    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:5335(__contains__)
      800    0.001    0.000    0.007    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/impute/_base.py:164(__sklearn_tags__)
4200/3800    0.002    0.000    0.007    0.000 {built-in method numpy.asarray}
     7400    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     1800    0.002    0.000    0.007    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/base.py:846(__sklearn_tags__)
      200    0.000    0.000    0.007    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/__init__.py:313(__init__)
      200    0.001    0.000    0.006    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/__init__.py:316(_init)
      200    0.002    0.000    0.006    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2209(_form_blocks)
  800/600    0.003    0.000    0.006    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:1583(_is_fitted)
     2200    0.002    0.000    0.006    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:170(simplefilter)
      400    0.003    0.000    0.006    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:3010(__init__)
     2600    0.004    0.000    0.006    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/numeric.py:323(full)
    15800    0.004    0.000    0.006    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/generic.py:37(_check)
     1800    0.002    0.000    0.006    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:810(_set_axis)
     4000    0.002    0.000    0.006    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/construction.py:693(_sanitize_ndim)
      200    0.001    0.000    0.006    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/base.py:895(_map_values)
     9600    0.003    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
      200    0.000    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/__init__.py:363(_get_ident)
     1800    0.001    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:787(name)
     2000    0.002    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1200(is_bool_dtype)
     2200    0.003    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/base.py:475(__sklearn_tags__)
     3800    0.004    0.000    0.005    0.000 {built-in method numpy.array}
  400/200    0.000    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/_psosx.py:343(wrapper)
      600    0.001    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:2732(_check_n_features)
     2000    0.001    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:7754(maybe_extract_name)
      200    0.000    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/_psosx.py:474(create_time)
      200    0.001    0.000    0.005    0.000 {built-in method _warnings.warn}
      200    0.003    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/algorithms.py:1667(map_array)
     3400    0.002    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/_config.py:35(get_config)
     1000    0.001    0.000    0.005    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/preprocessing/_data.py:1164(__sklearn_tags__)
     2200    0.002    0.000    0.004    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:188(_add_filter)
      200    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/_common.py:367(wrapper)
     8400    0.003    0.000    0.004    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/enum.py:691(__call__)
     2000    0.002    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/_config/config.py:127(_get_single_key)
     1200    0.002    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/base.py:840(__iter__)
      600    0.002    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:371(_num_samples)
     1200    0.003    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_missing.py:47(is_pandas_na)
      400    0.000    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/pipeline.py:1167(<genexpr>)
     1400    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/numpy/_aliases.py:89(asarray)
     2200    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:331(get_namespace)
     1200    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3800    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/common.py:568(require_length_match)
     1800    0.002    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:2789(new_block)
      600    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2304(sum)
     2000    0.003    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:281(__init__)
      200    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:417(get_namespace_and_device)
      200    0.000    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/_psosx.py:370(_get_kinfo_proc)
     1800    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1581(validate_all_hashable)
      600    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:2310(_get_feature_names)
      200    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:843(_engine)
      600    0.002    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:318(_num_features)
      200    0.001    0.000    0.004    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/copy.py:201(_deepcopy_tuple)
     1800    0.001    0.000    0.004    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:236(set_axis)
      200    0.004    0.000    0.004    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
    18400    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      200    0.002    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/cast.py:123(maybe_convert_platform)
      200    0.000    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/pipeline.py:1230(__sklearn_is_fitted__)
      200    0.000    0.000    0.003    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:97(_showwarnmsg)
      600    0.001    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
     1800    0.002    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:2718(maybe_coerce_values)
      400    0.000    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_mask.py:38(_get_mask)
      200    0.000    0.000    0.003    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:20(_showwarnmsg_impl)
     2800    0.001    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/scipy/_lib/_sparse.py:10(issparse)
     4000    0.001    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/construction.py:755(_maybe_repeat)
     1200    0.001    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:139(is_object_dtype)
     1600    0.002    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/construction.py:766(_try_cast)
     1800    0.001    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/base.py:86(_validate_set_axis)
     9200    0.002    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:912(__len__)
     8800    0.002    0.000    0.003    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:3057(<genexpr>)
    28000    0.003    0.000    0.003    0.000 {built-in method builtins.id}
      200    0.001    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:751(_c_float_array)
     1800    0.001    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:737(name)
      200    0.000    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_metadata_requests.py:1575(process_routing)
      200    0.000    0.000    0.003    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:6480(any)
      400    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_mask.py:14(_get_dense_mask)
