         1046202 function calls (1005802 primitive calls) in 0.567 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:674(_more_tags)
     1800    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:1492(_clear_item_cache)
      400    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
     1400    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/enum.py:1322(value)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:574(condition)
     1200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:5154(_values)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:1672(__is_multiclass)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1042(needs_i8_conversion)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:832(_reset_identity)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/apply.py:121(__init__)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/linecache.py:31(getlines)
      200    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      200    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:592(_ensure_array)
      600    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:610(_dtype_to_subclass)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/flags.py:87(allows_duplicate_labels)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/inference.py:300(<genexpr>)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:744(dtype)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/pipeline.py:385(_final_estimator)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:425(__init__)
      400    0.000    0.000    0.000    0.000 {function BaseEstimator.__getstate__ at 0x12bb49300}
      400    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:697(_update_sklearn_tags_from_dict)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/util/_validators.py:226(validate_bool_kwarg)
      400    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/construction.py:685(_sanitize_non_ordered)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:196(mgr_to_mgr)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/_ufunc_config.py:462(__init__)
      600    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2299(_sum_dispatcher)
      200    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      400    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:347(_is_1d_list)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/_config/__init__.py:55(using_string_dtype)
      400    0.000    0.000    0.000    0.000 {function Bunch.__getitem__ at 0x11ea2ff60}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:531(is_string_or_object_np_dtype)
      200    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      200    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:246(items)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/__init__.py:471(pid)
      200    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:575(_get_axis_number)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:981(dtype)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:1397(may_share_memory)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/joblib/externals/loky/backend/context.py:227(_count_physical_cores)
      200    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:408(flags)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:3070(parameters)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/impute/_base.py:123(_transform_indicator)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/compat/numpy/function.py:64(__call__)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/psutil/_psosx.py:365(__init__)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:1087(__del__)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:932(__init__)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2431(_any_dispatcher)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/impute/_base.py:136(_concatenate_indicator)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:197(concatenate)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/numeric.py:675(_flatnonzero_dispatcher)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:403(where)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:366(attrs)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:710(result_type)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/flags.py:55(allows_duplicate_labels)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1875(_ravel_dispatcher)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:433(_repeat_dispatcher)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1989(_nonzero_dispatcher)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:663(_constructor)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/shape_base.py:74(_atleast_2d_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


